NAME,WAR,wRC,wRAA,wOBA
이흥련,-0.12,9.6,-7.4,0.277
김민준,-0.15,-0.8,-1.5,0
김재현,-0.19,-0.7,-2.5,0.135
정진기,-0.2,9.6,-8.6,0.272
채현우,-0.21,-0.6,-3.7,0.163
최준우,-0.28,15.2,-11,0.28
이현석,-0.35,3,-11.2,0.224
남태혁,-0.36,3.6,-5.8,0.25
이홍구,-0.39,2.3,-4.7,0.242
윤석민,-0.46,3.3,-6.6,0.242
정현,-0.48,4.2,-12.3,0.23
김경호,-0.54,5.4,-7.7,0.254
이재원,-0.57,11.4,-20.5,0.246
정의윤,-0.7,14,-12,0.274
